MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLantitude,CurrentLongitude,AltitudeMeters,AccurarcyMeters,Type
44:33:4c:20:80:9c,CarDV-WIFI89e5,[WPA2-PSK-CCMP][WPS][ESS],30/10/2017 20:29,11,-96,32.16030835,34.81197963,44,13.65299988,WIFI
48:ee:0c:3e:8c:e0,Bezeq_WiFi,[ESS],28/10/2017 20:30,9,-96,32.16174181,34.80946799,38,6.06799984,WIFI
48:ee:0c:3e:8c:e0,Bezeq_WiFi,[ESS],28/10/2017 20:30,9,-96,32.16282313,34.81006761,50,9.101999283,WIFI
ec:08:6b:68:02:77,Itaythepro1_2.4,[WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:11,1,-95,32.09097213,34.87318999,56,13.65299988,WIFI
ec:08:6b:68:02:77,Itaythepro1_2.4,[WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:11,1,-95,32.09106638,34.87198823,54,13.65299988,WIFI
ec:08:6b:68:02:77,Itaythepro1_2.4,[WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:11,1,-95,32.09118585,34.87098609,54,4.550999641,WIFI
ec:08:6b:68:02:77,Itaythepro1_2.4,[WPA2-PSK-CCMP+TKIP][WPS][ESS],28/10/2017 20:12,1,-95,32.09129876,34.86988774,56,4.550999641,WIFI
6c:2e:85:fe:b6:d1,HOTBOX-5890,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-94,32.09076483,34.8751963,52,15.17000008,WIFI
6c:2e:85:fe:b6:d1,HOTBOX-5890,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-94,32.0908967,34.87407499,57,15.17000008,WIFI
6c:2e:85:fe:b6:d1,HOTBOX-5890,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],28/10/2017 20:11,11,-94,32.09098162,34.87301859,56,13.65299988,WIFI
